date,startup,vertical,subvertical,City  Location,investors,round,amount,Remarks
,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,952.6,
,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,129.9,
,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,57.0694,
,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,8.66,
,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,
,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,606.2,
,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,33774.0,
2019-02-07,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,164.54,
2019-02-07,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,21.65,
2019-01-07,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.2557,
2019-03-07,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.66,
2019-01-07,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,329.7728,
2019-04-07,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4.33,
2019-10-07,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,1299.0,
2019-11-07,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,519.6,
2019-10-07,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,138.56,
2019-10-07,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,49.794999999999995,
2019-10-07,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,21.65,
2019-09-07,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.66,
2019-08-07,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,2.7677793,
2019-05-06,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,441.66,
2019-04-06,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,86.6,
2019-03-06,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,77.94,
2019-04-06,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,649.5,
2019-04-06,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,225.16,
2019-03-06,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,21.65,
2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,225.16,
2019-10-06,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,3.725532,
2019-10-06,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,134.23,
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,450.32,
2019-08-06,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,31.03744,
2019-04-06,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,29.444,
2019-06-05,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0,
2019-06-05,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,7.522076,
2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0,
2019-01-05,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1299.0,
2019-02-05,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,433.0,
,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,441.66,
,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1212.4,
,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,99.58999999999999,
,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,48.495999999999995,
,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,389.69999999999993,
2019-12-04,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,147.22,
2019-10-04,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,3.7295589,
,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,31.1013075,
2019-12-04,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,1.732,
2019-11-04,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,30.31,
2019-10-04,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,54.7383012,
2019-10-04,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,21.1606667,
2019-10-04,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,2.65862,
2019-11-04,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,225.16,
,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,25.979999999999997,
,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,43.3,
,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,25.979999999999997,
